ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
ab.pa;AB SCIENCE;Healthcare;Drug Manufacturers—Specialty & Generic;7.090000152587891;5.48 - 13.34;155602;;;0.0;;-8.440476;-0.226;-0.84;0.958921;329992000.0;1656547200.0;EUR;1672425852
fga.pa;FIGEAC AERO;Industrials;Aerospace & Defense;5.349999904632568;4.51 - 6.93;4200;;;-0.14913;;53.5;-3.273;0.1;1.626444;168065968.0;1648684800.0;EUR;1672425852
pid.pa;PARAGON ID;Technology;Semiconductors;28.0;21.70 - 32.20;138;;;-0.05449;;;-3.998;;1.478391;55377000.0;1640908800.0;EUR;1672425852
nedap.as;NEDAP;Technology;Information Technology Services;55.0;52.60 - 69.80;1444;0.0554;1649894400.0;0.08663999;25.858015;18.644068;2.127;2.95;0.793324;355758688.0;1656547200.0;EUR;1672425852
egr.pa;TRANSITION EVERGREEN;Financial Services;Asset Management;2.8399999141693115;2.37 - 3.50;5836;;1183075200.0;0.0;;;-0.531;;;100571216.0;;EUR;1672425852
elec.pa;ELEC.STRASBOURG;Utilities;Utilities—Renewable;99.8000030517578;90.60 - 113.00;154;0.0624;1653868800.0;0.03554;12.521958;;7.97;;0.564826;715505152.0;1656547200.0;EUR;1672425852
arami.pa;ARAMIS GROUP;Consumer Cyclical;Auto & Truck Dealerships;4.199999809265137;3.74 - 14.76;39110;;;-0.02194;;;-1.998;;;302226944.0;1648684800.0;EUR;1672425852
mmb.pa;LAGARDERE SA;Consumer Cyclical;Travel Services;20.040000915527344;13.43 - 25.54;26746;0.0286;1650844800.0;0.00114;;10.603175;-5.11;1.89;1.214377;2805079040.0;1656547200.0;EUR;1672425852
fr.pa;VALEO;Consumer Cyclical;Auto Parts;16.700000762939453;13.56 - 28.00;869555;0.0209;1653609600.0;0.00209;111.333336;8.882979;0.15;1.88;1.744222;4066483712.0;1656547200.0;EUR;1672425852
mkea.pa;MAUNA KEA TECHNOLOGIES;Healthcare;Medical Devices;0.4149999916553497;0.37 - 0.99;73335;;;-1.54633;;-1.3833332;-0.353;-0.3;1.520564;18889056.0;1656547200.0;EUR;1672425852
ri.pa;PERNOD RICARD;Consumer Defensive;Beverages—Wineries & Distilleries;183.75;166.60 - 217.20;344693;0.0232;1669334400.0;0.18652001;183.2004;;1.003;;0.459563;47730348032.0;1656547200.0;EUR;1672425852
