ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
algec.pa;GECI INTL;Technology;Software—Infrastructure;0.0012000000569969;0.00 - 0.01;23544410.0;;1001894400.0;-0.0143;;;-0.026;;1.640152;2043768.0;1664496000.0;EUR;1676798456
alhpi.pa;HOPIUM;Consumer Cyclical;Auto Manufacturers;4.75;3.65 - 27.00;18229.0;;;0.0;;;;;-0.533828;61590876.0;1656547200.0;EUR;1676798456
alpat.pa;PLANT ADVANCED;Healthcare;Biotechnology;12.899999618530272;12.55 - 18.80;132.0;;;-0.24400999;;-20.47619;-0.498;-0.63;0.738814;14025396.0;1656547200.0;EUR;1676798456
alcof.pa;COFIDUR S.A.;Technology;Electronic Components;330.0;280.00 - 452.00;1.0;0.0904;1654041600.0;-0.00118;;;-33.148;;0.339961;12686520.0;1656547200.0;EUR;1676798456
alisp.pa;ISPD NETWORK;Communication Services;Advertising Agencies;3.880000114440918;3.74 - 4.72;316.0;;1575244800.0;0.050240003;32.881355;;0.118;;0.611089;59077656.0;1656547200.0;EUR;1676798456
albpk.pa;BROADPEAK;Technology;Communication Equipment;5.901000022888184;4.31 - 6.53;5987.0;;;0.0;;;;;;74044568.0;1656547200.0;EUR;1676798456
albio.pa;BIOSYNEX;Healthcare;Diagnostics & Research;12.109999656677246;10.62 - 21.84;8551.0;0.1625;1652659200.0;0.214;3.9704916;;3.05;;-2.005736;127610336.0;1656547200.0;EUR;1676798456
alamg.pa;AUPLATA MINING GROUP (AMG);Basic Materials;Gold;0.0074999998323619;0.01 - 0.07;12617946.0;;;-0.19365999;;;-0.085;;-0.899145;12492149.0;1640908800.0;EUR;1676798456
alunt.pa;UNITI;Consumer Cyclical;Residential Construction;1.950000047683716;1.55 - 3.26;153.0;;;-0.00509;26.71233;;0.073;;-0.254684;29628106.0;1656547200.0;EUR;1676798456
albfr.pa;SIDETRADE;Technology;Software—Application;156.0;116.00 - 170.00;310.0;;1467244800.0;0.14351;76.84729;84.78261;2.03;1.84;0.759082;213069472.0;1656547200.0;EUR;1676798456
aldbl.pa;BERNARD LOISEAU;Consumer Cyclical;Restaurants;3.7200000286102295;3.04 - 4.88;3.0;;1438128000.0;0.114300005;;;-0.43;;0.415296;6711847.0;1656547200.0;EUR;1676798456
aldrv.pa;DRONE VOLT;Technology;Computer Hardware;0.0077999997884035;0.01 - 0.06;16011150.0;;;-0.28340998;;0.051999997;-0.026;0.15;1.143403;3233903.0;1656547200.0;EUR;1676798456
