shortName;sector;industry;ticker;last_price;range_52_weeks;averageVolume10days;dividendYield;est_avg_dividend_yield_3y;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency
2020 BULKERS;Industrials;Marine Shipping;2020.ol;99.19999694824219;92.44 - 150.56;254606;0.21190001;0.017002688695108414;1660867200;0.60982;3.4794807;3.5825205;28.51;27.69;0.939274;2204313088;1656547200;NOK
2CRSI;Technology;Computer Hardware;2crsi.pa;3.055000066757202;2.61 - 5.20;9414;N/A;0.0;N/A;-0.00579;N/A;15.275001;-0.195;0.2;1.559983;43457376;1646006400;EUR
AALBERTS N.V.;Industrials;Specialty Industrial Machinery;aalb.as;37.59000015258789;34.86 - 58.90;123618;0.0273;0.0251840027354055;1653264000;0.12137;11.121302;13.00692;3.38;2.89;1.652317;4156702208;1656547200;EUR
AB INBEV;Consumer Defensive;Beverages—Brewers;abi.br;52.25;45.80 - 58.58;1110727;0.0097;0.03062200956937799;1651708800;0.0691;27.5;15.188953;1.9;3.44;1.184484;105505284096;1656547200;EUR
AB SCIENCE;Healthcare;Drug Manufacturers—Specialty & Generic;ab.pa;7.380000114440918;7.19 - 14.65;43185;N/A;0.0;N/A;0.0;N/A;-8.785715;-0.304;-0.84;0.948912;345836384;1640908800;EUR
ABC ARBITRAGE;Financial Services;Asset Management;abca.pa;7.019999980926514;6.58 - 7.57;13602;0.056999996;0.057454890944330254;1656979200;0.43577;15.260869;10.173913;0.46;0.69;0.215231;416290912;1640908800;EUR
ABEO;Consumer Cyclical;Leisure;abeo.pa;18.5;11.96 - 21.50;558;0.021300001;0.007207207207207207;1658448000;0.03506;19.270834;11.077845;0.96;1.67;1.236991;139080960;1648684800;EUR
ABG SUNDAL COLLIER HOLDING;Financial Services;Capital Markets;abg.ol;6.050000190734863;5.57 - 8.49;499821;0.16450001;0.13168043661993664;1651017600;0.22096;7.8571434;N/A;0.77;N/A;1.117786;2924110336;1656547200;NOK
ABIONYX PHARMA;Healthcare;Biotechnology;abnx.pa;1.934000015258789;0.90 - 3.57;116418;N/A;0.0;N/A;0.0;N/A;-7.162963;-0.148;-0.27;0.291863;53526932;1640908800;EUR
ABIVAX;Healthcare;Biotechnology;abvx.pa;8.600000381469727;7.21 - 36.70;50861;N/A;0.0;N/A;0.0;N/A;-5.8503404;-2.47;-1.47;1.508041;144252960;1640908800;EUR
ABL Diagnostics;Industrials;Railroads;abld.pa;14.45199966430664;1.99 - 16.08;0;N/A;0.05333748624677368;1601510400;14326.0;111.169235;N/A;0.13;N/A;-0.103122;28997648;1640908800;EUR
ABL GROUP ASA;Energy;Oil & Gas Equipment & Services;abl.ol;13.0;8.31 - 14.52;22272;0.0431;0.030769230769230774;1654128000;0.03295;48.148148;N/A;0.27;N/A;1.706244;1259993856;1648684800;NOK
ABN AMRO BANK N.V.;Financial Services;Banks—Diversified;abn.as;9.675999641418457;9.11 - 15.37;2859790;0.1633;0.046851317707043316;1660694400;0.21542999;5.7266273;7.331818;1.69;1.32;1.238883;8686218240;1656547200;EUR
ABO GROUP ENVIRONMENT;Industrials;Waste Management;abo.br;5.099999904632568;4.76 - 6.40;313;N/A;0.0;N/A;0.03176;25.247524;N/A;0.202;N/A;0.472448;53900368;1640908800;EUR
ACANTHE DEV.;Real Estate;REIT—Office;acan.pa;0.4189999997615814;0.39 - 0.55;8449;N/A;0.007239459033554547;1569456000;2.0912101;83.8;N/A;0.005;N/A;0.481073;61645372;1640908800;EUR
ACCENTIS;Financial;Property Management;accb.br;0.03579999879002571;0.03 - 0.08;254856;0.9944;0.0;1655942400;0.813;7.16;N/A;0.005;N/A;0.446094;45210032;1640908800;EUR
ACCOR;Consumer Cyclical;Lodging;ac.pa;24.760000228881836;23.34 - 34.58;538822;N/A;0.0;1557446400;0.0161;N/A;91.7037;-7.711;0.27;1.307618;6483554816;1656547200;EUR
ACCOR ACQUISITION COMPANY SHARE;Financial Services;Shell Companies;aac.pa;9.600000381469727;9.55 - 9.90;5731;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EUR
ACCSYS TECHNOLOGIES PLC;Basic Materials;Lumber & Wood Production;axs.as;1.128000020980835;1.12 - 2.28;74732;N/A;0.0;1216771200;0.0057800002;38.896553;N/A;0.029;0.0;1.04907;217002384;1648684800;EUR
ACKERMANS V.HAAREN;Industrials;Engineering & Construction;ackb.br;143.0;136.50 - 179.20;21797;0.019199999;0.010885780885780886;1653868800;0.09466;20.634922;14.473684;6.93;9.88;0.764734;4740764672;1640908800;EUR
ACOMO N.V.;Consumer Defensive;Food Distribution;acomo.as;21.450000762939453;20.90 - 27.10;6530;0.0467;0.017094016486012453;1659052800;0.04198;23.442623;14.395973;0.915;1.49;0.75563;634832064;1656547200;EUR
ACTEOS;Technology;Software—Application;eos.pa;1.5700000524520874;1.26 - 2.80;808;N/A;0.0;N/A;-0.056739997;39.250004;N/A;0.04;N/A;1.743172;5237457;1640908800;EUR
